pin_code,state,district,raw_ltm_rainfall_mm,raw_cdd_p90_days,raw_deficit_freq_pct,raw_trend_mm_per_decade,trend_direction,trend_significant,mk_pval,data_source,nn_pincodes_used,nn_max_dist_km,pet_mm,aridity_index,chirps_ltm_mm,chirps_deficit_pct,chirps_monsoon_conc,chirps_trend_mm_yr,chirps_trend_pval,norm_aridity_index,norm_ltm_rainfall,norm_deficit_freq,norm_cdd_p90,norm_monsoon_conc,norm_trend,drought_score,risk_level
0,West Bengal,,1819.9,56.8,13.45,6.14,Mild Wetting,False,0.6712,nearest_neighbour,"[743370, 743312, 743378]",20.9,1481,1.1244,1665.19,9.414,76.383,-0.4142,0.4098,52.67,45.05,16.73,12.45,66.97,50.0,41.58,Moderate
110001,Delhi,Central,776.1,77.1,21.36,42.54,Strong Wetting,False,0.0745,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,28.25,78.47,50.0,67.35,Very High
110002,Delhi,Central,784.1,74.7,22.16,42.54,Strong Wetting,False,0.0991,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,26.38,78.47,50.0,67.07,Very High
110003,Delhi,New Delhi,777.4,78.1,21.82,43.41,Strong Wetting,False,0.0769,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,29.03,78.47,50.0,67.46,Very High
110004,Delhi,New Delhi,767.0,78.4,20.45,44.04,Strong Wetting,False,0.0538,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,29.26,78.47,50.0,67.5,Very High
110005,Delhi,Central,768.1,76.9,21.59,44.81,Strong Wetting,False,0.065,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,28.09,78.47,50.0,67.32,Very High
110006,Delhi,Central,784.1,75.9,22.73,48.37,Strong Wetting,False,0.0538,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,27.32,78.47,50.0,67.21,Very High
110007,Delhi,Central,769.1,75.3,22.73,45.58,Strong Wetting,False,0.0763,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,26.85,78.47,50.0,67.14,Very High
110008,Delhi,West,738.9,79.6,21.97,41.41,Strong Wetting,False,0.0753,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,30.19,78.47,50.0,67.64,Very High
110009,Delhi,North,762.7,75.5,21.59,45.49,Strong Wetting,False,0.0775,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,27.0,78.47,50.0,67.16,Very High
