pin_code,state,district,flood_hazard_pct,flood_occurrence_pct,twi_pct,water_prox_pct,rainfall_score,flood_trend_raw,flood_hazard_pct_norm,flood_occurrence_pct_norm,twi_pct_norm,water_prox_pct_norm,rainfall_score_norm,flood_trend_norm,method,flood_score,flood_risk_level,weight_scheme,is_coastal,coastal_adjustment,flood_score_raw
110001,Delhi,Central,0.0,0.0,68.0,100.0,12.36,0.0,15.94,38.61,79.28,100.0,12.36,0.0,polygon,36.9285,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,36.9285
110002,Delhi,Central,32.0,1.0,68.0,100.0,11.77,0.725181598062954,76.2,82.43,79.28,100.0,11.77,1.18,polygon,52.747,High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,52.747
110003,Delhi,New Delhi,7.0,0.0,68.0,100.0,14.26,0.3401178361006963,56.21,38.61,79.28,100.0,14.26,0.55,polygon,43.3915,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,43.3915
110004,Delhi,New Delhi,0.0,0.0,67.0,100.0,14.26,0.0,15.94,38.61,60.83,100.0,14.26,0.0,polygon,34.446000000000005,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,34.446000000000005
110005,Delhi,Central,0.0,0.0,67.0,100.0,11.8,0.0,15.94,38.61,60.83,100.0,11.8,0.0,polygon,34.077000000000005,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,34.077000000000005
110006,Delhi,Central,7.0,0.0,67.0,100.0,11.8,0.302020202020202,56.21,38.61,60.83,100.0,11.8,0.49,polygon,40.24,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,40.24
110007,Delhi,Central,0.0,0.0,68.0,100.0,11.8,0.0533333333333333,15.94,38.61,79.28,100.0,11.8,0.09,polygon,36.867,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,36.867
110008,Delhi,West,0.0,0.0,67.0,100.0,11.8,0.0,15.94,38.61,60.83,100.0,11.8,0.0,polygon,34.077000000000005,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,34.077000000000005
110009,Delhi,North,44.0,0.0,68.0,100.0,11.8,0.0477211796246648,80.57,38.61,79.28,100.0,11.8,0.08,polygon,46.559000000000005,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,46.559000000000005
110010,Delhi,New Delhi,0.0,0.0,68.0,62.0,12.53,0.0,15.94,38.61,79.28,62.0,12.53,0.0,polygon,31.254,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,31.254
110011,Delhi,New Delhi,0.0,0.0,68.0,100.0,14.26,0.0,15.94,38.61,79.28,100.0,14.26,0.0,polygon,37.2135,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,37.2135
110012,Delhi,West,0.0,0.0,68.0,99.0,12.08,0.0,15.94,38.61,79.28,99.0,12.08,0.0,polygon,36.7365,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,36.7365
110013,Delhi,South,59.0,2.0,69.0,100.0,14.26,1.5625,84.83,89.36,96.48,100.0,14.26,2.54,polygon,58.3745,Very High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,58.3745
110014,Delhi,South,35.0,0.0,69.0,100.0,14.26,0.6168384879725086,77.36,38.61,96.48,100.0,14.26,1.0,polygon,49.2565,High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,49.2565
110015,Delhi,West,2.0,0.0,68.0,100.0,11.79,0.1597160603371783,42.22,38.61,79.28,100.0,11.79,0.26,polygon,40.85,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,40.85
110016,Delhi,South,0.0,0.0,68.0,100.0,14.26,0.2200956937799043,15.94,38.61,79.28,100.0,14.26,0.36,polygon,37.30350000000001,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,37.30350000000001
110017,Delhi,South,0.0,0.0,69.0,100.0,14.26,0.0,15.94,38.61,96.48,100.0,14.26,0.0,polygon,39.7935,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,39.7935
110018,Delhi,West,29.0,0.0,68.0,100.0,12.65,0.157928388746803,74.87,38.61,79.28,100.0,12.65,0.26,polygon,45.8765,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,45.8765
110019,Delhi,South East,0.0,0.0,67.0,96.0,14.26,0.0151387720773759,15.94,38.61,60.83,96.0,14.26,0.02,polygon,33.851000000000006,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,33.851000000000006
110020,Delhi,South,0.0,0.0,68.0,100.0,14.26,0.0,15.94,38.61,79.28,100.0,14.26,0.0,polygon,37.2135,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,37.2135
110021,Delhi,New Delhi,0.0,0.0,68.0,100.0,14.03,0.0,15.94,38.61,79.28,100.0,14.03,0.0,polygon,37.179,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,37.179
110022,Delhi,New Delhi,0.0,0.0,69.0,100.0,14.26,0.0,15.94,38.61,96.48,100.0,14.26,0.0,polygon,39.7935,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,39.7935
110023,Delhi,New Delhi,0.0,0.0,69.0,100.0,14.26,0.0,15.94,38.61,96.48,100.0,14.26,0.0,polygon,39.7935,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,39.7935
110024,Delhi,South,0.0,0.0,68.0,100.0,14.26,0.0,15.94,38.61,79.28,100.0,14.26,0.0,polygon,37.2135,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,37.2135
110025,Delhi,Budaun,47.0,5.0,68.0,100.0,14.26,1.794691224268689,81.56,94.52,79.28,100.0,14.26,2.91,polygon,56.1705,Very High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,56.1705
110026,Delhi,West,3.0,0.0,69.0,100.0,11.69,0.0863453815261044,46.18,38.61,96.48,100.0,11.69,0.14,polygon,43.979,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,43.979
110027,Delhi,West,4.0,0.0,68.0,100.0,11.83,0.1222606689734717,49.31,38.61,79.28,100.0,11.83,0.2,polygon,41.9045,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,41.9045
110028,Delhi,New Delhi,0.0,0.0,68.0,100.0,11.81,0.0,15.94,38.61,79.28,100.0,11.81,0.0,polygon,36.846,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,36.846
110029,Delhi,South,0.0,0.0,69.0,100.0,14.26,0.0,15.94,38.61,96.48,100.0,14.26,0.0,polygon,39.7935,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,39.7935
110030,Delhi,South,0.0,0.0,68.0,100.0,14.26,0.0229629629629629,15.94,38.61,79.28,100.0,14.26,0.04,polygon,37.2235,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,37.2235
110031,Delhi,East,67.0,1.0,68.0,100.0,11.8,0.6293785310734463,87.23,82.43,79.28,100.0,11.8,1.02,polygon,54.36600000000001,High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,54.36600000000001
110032,Delhi,Shahdara,82.0,0.0,69.0,100.0,11.8,0.0,91.07,38.61,96.48,100.0,11.8,0.0,polygon,50.694,High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,50.694
110033,Delhi,North,30.0,0.0,68.0,100.0,11.8,0.045985401459854,75.36,38.61,79.28,100.0,11.8,0.07,polygon,45.775,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,45.775
110034,Delhi,North West,0.0,0.0,68.0,100.0,11.88,0.0311185870479394,15.94,38.61,79.28,100.0,11.88,0.05,polygon,36.869,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,36.869
110035,Delhi,North West,1.0,0.0,68.0,100.0,11.8,0.0,35.89,38.61,79.28,100.0,11.8,0.0,polygon,39.837,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,39.837
110036,Delhi,North,94.0,0.0,68.0,100.0,11.77,0.1291367270519178,95.24,38.61,79.28,100.0,11.77,0.21,polygon,48.7875,High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,48.7875
110037,Delhi,New Delhi,0.0,0.0,68.0,100.0,13.41,0.0268380694632386,15.94,38.61,79.28,100.0,13.41,0.04,polygon,37.096,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,37.096
110038,Delhi,New Delhi,0.0,0.0,68.0,100.0,13.79,0.0,15.94,38.61,79.28,100.0,13.79,0.0,polygon,37.143,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,37.143
110039,Delhi,North,0.0,0.0,68.0,100.0,12.65,0.0257474069554606,15.94,38.61,79.28,100.0,12.65,0.04,polygon,36.982,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,36.982
110040,Delhi,North,37.0,0.0,68.0,100.0,11.89,0.041423657843577,78.07,38.61,79.28,100.0,11.89,0.07,polygon,46.19499999999999,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,46.19499999999999
110041,Delhi,West,84.0,0.0,68.0,100.0,12.65,0.22642151855635,91.74,38.61,79.28,100.0,12.65,0.37,polygon,48.4345,High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,48.4345
110042,Delhi,North,42.0,0.0,68.0,100.0,11.81,0.1485870556061987,79.9,38.61,79.28,100.0,11.81,0.24,polygon,46.50000000000001,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,46.50000000000001
110043,Delhi,South West,91.0,0.0,67.0,100.0,13.6,0.1644664466446644,93.99,38.61,60.83,100.0,13.6,0.27,polygon,46.122,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,46.122
110044,Delhi,South,18.0,0.0,68.0,100.0,14.26,0.1884798909338786,68.59,38.61,79.28,100.0,14.26,0.31,polygon,45.188500000000005,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,45.188500000000005
110045,Delhi,South West,0.0,0.0,68.0,100.0,14.26,0.0,15.94,38.61,79.28,100.0,14.26,0.0,polygon,37.2135,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,37.2135
110046,Delhi,New Delhi,0.0,0.0,67.0,96.0,14.26,0.0,15.94,38.61,60.83,96.0,14.26,0.0,polygon,33.846000000000004,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,33.846000000000004
110047,Delhi,South,0.0,0.0,68.0,100.0,13.82,0.0178217821782178,15.94,38.61,79.28,100.0,13.82,0.03,polygon,37.155,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,37.155
110048,Delhi,South,0.0,0.0,68.0,93.0,14.26,0.0,15.94,38.61,79.28,93.0,14.26,0.0,polygon,36.163500000000006,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,36.163500000000006
110049,Delhi,South,0.0,0.0,68.0,100.0,14.26,0.0,15.94,38.61,79.28,100.0,14.26,0.0,polygon,37.2135,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,37.2135
110051,Delhi,East,57.0,0.0,67.0,100.0,11.8,0.0,84.35,38.61,60.83,100.0,11.8,0.0,polygon,44.3385,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,44.3385
110052,Delhi,North,0.0,0.0,68.0,100.0,11.8,0.0,15.94,38.61,79.28,100.0,11.8,0.0,polygon,36.8445,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,36.8445
110053,Delhi,North East,77.0,1.0,68.0,100.0,11.8,0.5478507704785077,89.61,82.43,79.28,100.0,11.8,0.89,polygon,54.6905,Very High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,54.6905
110054,Delhi,Central,18.0,1.0,69.0,100.0,11.8,0.446535500427716,68.59,82.43,96.48,100.0,11.8,0.72,polygon,54.075,High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,54.075
110055,Delhi,Central,0.0,0.0,68.0,100.0,11.8,0.0,15.94,38.61,79.28,100.0,11.8,0.0,polygon,36.8445,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,36.8445
110056,Delhi,North West,0.0,0.0,68.0,100.0,12.1,0.0,15.94,38.61,79.28,100.0,12.1,0.0,polygon,36.8895,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,36.8895
